Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Work Location,Division/Work Unit,Residency Requirement,Salary From Annual,Salary To Annual,Title Seniority,Borough,Salary Spread,Is Full Time,Is External,Career Level Encoded,Job Category Encoded,Agency Encoded,Borough Encoded,Title Seniority Encoded,Title Classification Encoded,Posting Type Encoded
623668,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Research Analyst, IMAT, Bureau of Maternal Infant and Reproductive Health",CITY RESEARCH SCIENTIST,Non-Competitive-5,2,"Constituent Services & Community Programs Health Policy, Research & Analysis",F,Experienced (non-manager),42-09 28th Street,"Maternal, Infant, & Repr. Hlth","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",82506.0,94882.0,Standard,Other,12376.0,1,1,3,105,22,3,6,3,0
608193,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Deputy Director,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,0,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),30-30 Thomson Ave L I City Qns,Pub Bldgs/Transportation,New York City Residency is not required for this position,58682.0,134570.0,Director,Queens,75888.0,1,0,3,167,20,4,0,0,1
625094,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Senior Project Manager,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,0,"Engineering, Architecture, & Planning",F,Experienced (non-manager),30-30 Thomson Ave L I City Qns,PUB BLDGS/CPD/Library/Brooklyn,New York City Residency is not required for this position,58682.0,91405.0,Manager,Queens,32723.0,1,0,3,123,20,4,3,0,1
580593,DEPARTMENT OF TRANSPORTATION,External,1,Procurement Analyst 2,PROCUREMENT ANALYST,Competitive-1,2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),55 Water St Ny Ny,Bridge Repair/352 Kent St,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",50972.0,82730.0,Standard,Other,31758.0,1,1,3,135,18,3,6,0,0
624937,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Deputy Director, HIV Planning Council, Division Management & Systems Coordination",CITY RESEARCH SCIENTIST,Non-Competitive-5,3,"Constituent Services & Community Programs Health Policy, Research & Analysis",F,Experienced (non-manager),42-09 28th Street,Dis-Div. Mgmt. & Sys Coord,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",92301.0,106146.0,Director,Other,13845.0,1,1,3,105,22,3,0,3,0
628726,TAXI & LIMOUSINE COMMISSION,Internal,1,DevOps Engineering Manager,IT PROJECT SPECIALIST,Pending Classification-2,0,"Technology, Data & Innovation",F,Experienced (non-manager),"33 Beaver St, New York Ny",Management Information Systems,New York City Residency is not required for this position,140000.0,160000.0,Manager,Manhattan,20000.0,1,0,3,171,56,2,3,4,1
621367,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Stormwater Inspector,PROJECT MANAGER INTERN#,Competitive-1,0,"Green Jobs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Entry-Level,59-17 Junction Blvd Corona Ny,MUNI SEPARATE STORM SWR SYSTEM,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",56313.0,64760.0,Standard,Queens,8447.0,1,0,1,151,21,4,6,0,1
627742,HOUSING PRESERVATION & DVLPMNT,Internal,1,Case Manager,COMMUNITY ASSOCIATE,Non-Competitive-5,0,Constituent Services & Community Programs,F,Entry-Level,100 Gold Street,HCV Unit,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",48170.0,48170.0,Manager,Other,0.0,1,0,1,76,33,3,3,3,1
605344,NYC DEPT OF VETERANS' SERVICES,Internal,1,Site Reliability Engineer,COMMUNITY ASSOCIATE,Non-Competitive-5,0,"Technology, Data & Innovation",P,Entry-Level,"1 Centre St., N.Y.",NYC DEPT OF VETERANS' SERVICES,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",47687.536,58240.0,Standard,Manhattan,10552.464,0,0,1,171,40,2,6,3,1
602435,HRA/DEPT OF SOCIAL SERVICES,External,1,SENIOR PROJECT LEADER,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,2,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),15 Metrotech,Mgmt Information System-NM,New York City Residency is not required for this position,93288.0,107281.0,Senior,Bronx,13993.0,1,1,3,182,34,0,5,0,0
628244,DEPARTMENT OF TRANSPORTATION,Internal,4,Machinist,MACHINIST,Competitive-1,0,Building Operations & Maintenance,F,Experienced (non-manager),"1 Bay St., S.I.,Ny",F&GA-Pier 7 Maintenance,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",77542.40000000001,90272.0,Standard,Other,12729.599999999991,1,0,3,50,18,3,6,0,1
619987,HRA/DEPT OF SOCIAL SERVICES,Internal,2,CASE RESOLUTION SPECIALIST,BENEFITS OPPORTUNITY SPECIALIS,Competitive-1,0,Social Services,F,Experienced (non-manager),4 World Trade Center,Comm Affairs/Immigrant Svc-NM,New York City Residency is not required for this position,46318.0,53266.0,Standard,Other,6948.0,1,0,3,170,34,3,6,0,1
623794,DEPARTMENT OF FINANCE,Internal,34,Administrative Law Judge,HEARING OFFICER (PVB - NOT EMP,Pending Classification-2,0,"Constituent Services & Community Programs Legal Affairs Policy, Research & Analysis",P,Experienced (non-manager),"66 John Street, New York, Ny",ALJs - P/T,New York City residency is not required for this title.,127961.6,127961.6,Standard,Manhattan,0.0,0,0,3,113,14,2,6,4,1
626877,HOUSING PRESERVATION & DVLPMNT,External,1,HQE Specialist,COMMUNITY ASSOCIATE,Non-Competitive-5,0,Constituent Services & Community Programs,F,Experienced (non-manager),100 Gold Street,Division of Tenant & Owner Res,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",48170.0,48170.0,Standard,Other,0.0,1,1,3,76,33,3,6,3,0
608346,OFFICE OF LABOR RELATIONS,Internal,1,Special Projects Coordinator,CITY RESEARCH SCIENTIST,Non-Competitive-5,2,Constituent Services & Community Programs,F,Experienced (non-manager),22 Cortlandt Street,Executive,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",82506.0,103548.0,Standard,Other,21042.0,1,0,3,76,48,3,6,3,1
562175,DEPT OF ENVIRONMENT PROTECTION,Internal,13,Water Systems Operation Specialist Apprentice - 13 positions,CITY SEASONAL AIDE,Non-Competitive-5,0,Building Operations & Maintenance,F,Experienced (non-manager),"2389 Route 28A, Shokan, Ny",ASHOKAN MAINTENANCE,New York City residency is not required for this position.,32136.0,32136.0,Standard,Other,0.0,1,0,3,50,21,3,6,3,1
625430,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Child Care Registrar, Bureau of Childcare",COMMUNITY ASSOCIATE,Non-Competitive-5,0,Health,F,Experienced (non-manager),NYC - All Boroughs,Child Care,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",41887.0,48170.0,Standard,Other,6283.0,1,1,3,152,22,3,6,3,0
600770,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Procurement Coordinator,STAFF ANALYST,Competitive-1,2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),42-09 28th Street,Acco/Contracts,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",62470.0,80008.0,Standard,Other,17538.0,1,1,3,135,22,3,6,0,0
571552,HRA/DEPT OF SOCIAL SERVICES,External,1,CASE MANAGEMENT SUPERVISOR,ASSOCIATE JOB OPPORTUNITY SPEC,Competitive-1,1,Social Services,F,Experienced (non-manager),"1377 Jerome Avenue, Bronx",FIA Operations-NM,New York City Residency is not required for this position,51869.0,59649.0,Manager,Bronx,7780.0,1,1,3,170,34,0,3,0,0
582658,DEPARTMENT OF TRANSPORTATION,Internal,1,Summer Intern,SUMMER COLLEGE INTERN,Non-Competitive-5,0,"Engineering, Architecture, & Planning",F,Student,55 Water St Ny Ny,East River & Movable,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",31200.0,36400.0,Junior,Other,5200.0,1,0,2,123,18,3,2,3,1
604731,HRA/DEPT OF SOCIAL SERVICES,Internal,1,UNIT CLERK,CLERICAL ASSOCIATE,Competitive-1,3,Social Services,F,Entry-Level,"400 8Th Ave., N.Y.",Hasa Hiv/Aids Svcs Admin-NM,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",39763.0,45728.0,Standard,Other,5965.0,1,0,1,170,34,3,6,0,1
556745,DEPT OF ENVIRONMENT PROTECTION,External,2,INSTRUMENTATION SPECIALIST,INSTRUMENTATION SPECIALIST,Competitive-1,3,"Technology, Data & Innovation",F,Experienced (non-manager),96-05 Horace Harding Expway,BWT - ADMINISTRATION/PERSONNEL,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",74773.0,76650.0,Standard,Other,1877.0,1,1,3,171,21,3,6,0,0
615591,NYC HOUSING AUTHORITY,Internal,5,Fire Safety Technician,SUPERVISOR OF MECHANICAL INSTA,Competitive-1,2,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),Fire Safety Unit,Fire Safety,NYCHA has no residency requirements.,74041.0,85147.0,Standard,Other,11106.0,1,0,3,52,43,3,6,0,1
595336,HRA/DEPT OF SOCIAL SERVICES,Internal,7,CASE MANAGEMENT SUPERVISOR,ASSOCIATE BENEFITS OPPORTUNITY,Competitive-1,1,Administration & Human Resources Social Services,F,Experienced (non-manager),95 Evergreen Ave Brooklyn,FIA Operations-NM,New York City Residency is not required for this position,56677.0,65179.0,Manager,Brooklyn,8502.0,1,0,3,46,34,1,3,0,1
600787,NYC HOUSING AUTHORITY,Internal,1,Chief of Mandated Reporting and Publications,CITY RESEARCH SCIENTIST,Non-Competitive-5,3,"Policy, Research & Analysis",F,Manager,Perf Tracking and Analytics,Perf Tracking and Analytics,NYCHA has no residency requirements.,92301.0,121296.0,Executive,Other,28995.0,1,0,4,166,43,3,1,3,1
579262,DEPT OF ENVIRONMENT PROTECTION,External,1,Principal Administrative Associate,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,1,Administration & Human Resources,F,Experienced (non-manager),96-05 Horace Harding Expway,Dept of Environment Protection,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",47418.0,69462.0,Senior,Other,22044.0,1,1,3,0,21,3,5,0,0
628183,HRA/DEPT OF SOCIAL SERVICES,External,1,SUSPENSE ACCOUNT COORDINATOR,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,3,Administration & Human Resources Social Services,F,Experienced (non-manager),4 World Trade Center,Off Of ChildÂ  Enforc-NM,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",64137.0,73758.0,Standard,Other,9621.0,1,1,3,46,34,3,6,0,0
583088,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ASSOC. CHEMIST,ASSOCIATE CHEMIST,Competitive-1,1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),59-17 Junction Blvd Corona Ny,Dept of Environment Protection,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",45193.0,77500.0,Standard,Queens,32307.0,1,0,3,169,21,4,6,0,1
624773,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Transaction Specialist,COMMUNITY COORDINATOR,Non-Competitive-5,0,"Engineering, Architecture, & Planning",F,Experienced (non-manager),"1 Centre St., N.Y.",RES/Leasing & Acquisitions,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",77000.0,77000.0,Standard,Manhattan,0.0,1,0,3,123,19,2,6,3,1
